date,center_name,attendance_count
2018-10-02,Ammon Community Center,14
2018-10-02,Jefferson Community Center,26
2018-10-02,Brookline Community Center,57
2018-10-02,Ormsby Community Center,59
2018-10-02,West Penn Community Center,55
2018-10-01,Phillips Community Center,77
2018-10-01,Warrington Community Center,15
2018-10-01,Ammon Community Center,102
2018-10-01,Arlington Community Center,7
2018-10-01,Brookline Community Center,78
2018-10-01,Jefferson Community Center,40
2018-10-01,Ormsby Community Center,54
2018-10-01,Paulson Community Center,37
2018-10-01,West Penn Community Center,62
2018-09-29,Jefferson Community Center,6
2018-09-29,West Penn Community Center,8
2018-09-28,Warrington Community Center,3
2018-09-28,Arlington Community Center,3
2018-09-28,Ammon Community Center,24
2018-09-28,Jefferson Community Center,36
2018-09-28,Brookline Community Center,51
2018-09-28,Ormsby Community Center,30
2018-09-28,West Penn Community Center,71
2018-09-27,Warrington Community Center,12
2018-09-27,Phillips Community Center,33
2018-09-27,Ammon Community Center,83
2018-09-27,Arlington Community Center,9
2018-09-27,Brookline Community Center,52
2018-09-27,Jefferson Community Center,26
2018-09-27,Ormsby Community Center,45
2018-09-27,West Penn Community Center,125
2018-09-26,Phillips Community Center,136
2018-09-26,Warrington Community Center,10
2018-09-26,Arlington Community Center,9
2018-09-26,Ammon Community Center,51
2018-09-26,Jefferson Community Center,34
2018-09-26,Brookline Community Center,45
2018-09-26,Ormsby Community Center,44
2018-09-26,West Penn Community Center,104
2018-09-25,Warrington Community Center,11
2018-09-25,Phillips Community Center,114
2018-09-25,Ammon Community Center,77
2018-09-25,Arlington Community Center,14
2018-09-25,Brookline Community Center,49
2018-09-25,Jefferson Community Center,19
2018-09-25,Ormsby Community Center,35
2018-09-25,West Penn Community Center,71
2018-09-24,Phillips Community Center,105
2018-09-24,Warrington Community Center,15
2018-09-24,Arlington Community Center,4
2018-09-24,Ammon Community Center,87
2018-09-24,Jefferson Community Center,30
2018-09-24,Brookline Community Center,42
2018-09-24,Ormsby Community Center,43
2018-09-24,West Penn Community Center,71
2018-09-22,Phillips Community Center,13
2018-09-22,Brookline Community Center,17
2018-09-22,West Penn Community Center,14
2018-09-21,Phillips Community Center,135
2018-09-21,Warrington Community Center,8
2018-09-21,Ammon Community Center,24
2018-09-21,Arlington Community Center,1
2018-09-21,Brookline Community Center,41
2018-09-21,Jefferson Community Center,29
2018-09-21,Ormsby Community Center,41
2018-09-21,West Penn Community Center,36
2018-09-20,Warrington Community Center,14
2018-09-20,Phillips Community Center,117
2018-09-20,Arlington Community Center,1
2018-09-20,Ammon Community Center,68
2018-09-20,Jefferson Community Center,26
2018-09-20,Brookline Community Center,51
2018-09-20,Ormsby Community Center,45
2018-09-20,West Penn Community Center,119
2018-09-19,Phillips Community Center,151
2018-09-19,Warrington Community Center,6
2018-09-19,Ammon Community Center,35
2018-09-19,Arlington Community Center,8
2018-09-19,Brookline Community Center,47
2018-09-19,Jefferson Community Center,33
2018-09-19,Ormsby Community Center,19
2018-09-19,West Penn Community Center,88
2018-09-18,Warrington Community Center,12
2018-09-18,Phillips Community Center,110
2018-09-18,Arlington Community Center,10
2018-09-18,Ammon Community Center,80
2018-09-18,Jefferson Community Center,28
2018-09-18,Brookline Community Center,54
2018-09-18,Ormsby Community Center,57
2018-09-18,West Penn Community Center,86
2018-09-17,Phillips Community Center,119
2018-09-17,Warrington Community Center,17
2018-09-17,Ammon Community Center,67
2018-09-17,Arlington Community Center,2
2018-09-17,Brookline Community Center,56
2018-09-17,Jefferson Community Center,22
2018-09-17,Ormsby Community Center,31
2018-09-17,West Penn Community Center,65
2018-09-15,Phillips Community Center,14
2018-09-15,Brookline Community Center,19
2018-09-15,West Penn Community Center,15
2018-09-14,Phillips Community Center,58
2018-09-14,Warrington Community Center,11
2018-09-14,Arlington Community Center,2
2018-09-14,Ammon Community Center,50
2018-09-14,Brookline Community Center,34
2018-09-14,Jefferson Community Center,28
2018-09-14,Ormsby Community Center,17
2018-09-14,West Penn Community Center,39
2018-09-13,Warrington Community Center,16
2018-09-13,Phillips Community Center,91
2018-09-13,Ammon Community Center,81
2018-09-13,Arlington Community Center,3
2018-09-13,Jefferson Community Center,12
2018-09-13,Brookline Community Center,52
2018-09-13,Ormsby Community Center,16
2018-09-13,West Penn Community Center,131
2018-09-12,Phillips Community Center,184
2018-09-12,Warrington Community Center,14
2018-09-12,Arlington Community Center,6
2018-09-12,Ammon Community Center,83
2018-09-12,Brookline Community Center,59
2018-09-12,Jefferson Community Center,25
2018-09-12,Ormsby Community Center,19
2018-09-12,West Penn Community Center,47
2018-09-11,Warrington Community Center,10
2018-09-11,Phillips Community Center,174
2018-09-11,Ammon Community Center,75
2018-09-11,Jefferson Community Center,21
2018-09-11,Brookline Community Center,43
2018-09-11,Ormsby Community Center,13
2018-09-11,West Penn Community Center,79
2018-09-10,Phillips Community Center,113
2018-09-10,Warrington Community Center,12
2018-09-10,Ammon Community Center,47
2018-09-10,Arlington Community Center,1
2018-09-10,Brookline Community Center,32
2018-09-10,Jefferson Community Center,13
2018-09-10,Ormsby Community Center,14
2018-09-10,West Penn Community Center,66
2018-09-08,Phillips Community Center,47
2018-09-08,Brookline Community Center,8
2018-09-08,West Penn Community Center,25
2018-09-07,Phillips Community Center,58
2018-09-07,Warrington Community Center,21
2018-09-07,Arlington Community Center,1
2018-09-07,Ammon Community Center,75
2018-09-07,Brookline Community Center,72
2018-09-07,Jefferson Community Center,26
2018-09-07,Ormsby Community Center,16
2018-09-07,West Penn Community Center,37
2018-09-06,Warrington Community Center,14
2018-09-06,Phillips Community Center,35
2018-09-06,Ammon Community Center,88
2018-09-06,Jefferson Community Center,9
2018-09-06,Brookline Community Center,62
2018-09-06,Ormsby Community Center,15
2018-09-06,West Penn Community Center,111
2018-09-05,Phillips Community Center,47
2018-09-05,Warrington Community Center,6
2018-09-05,Ammon Community Center,105
2018-09-05,Brookline Community Center,64
2018-09-05,Jefferson Community Center,24
2018-09-05,Ormsby Community Center,10
2018-09-05,West Penn Community Center,38
2018-09-04,Warrington Community Center,6
2018-09-04,Phillips Community Center,47
2018-09-04,Ammon Community Center,81
2018-09-04,Arlington Community Center,4
2018-09-04,Jefferson Community Center,20
2018-09-04,Brookline Community Center,75
2018-09-04,Ormsby Community Center,5
2018-09-04,West Penn Community Center,54
2018-08-31,Phillips Community Center,94
2018-08-31,Warrington Community Center,7
2018-08-31,Arlington Community Center,1
2018-08-31,Ammon Community Center,18
2018-08-31,Brookline Community Center,31
2018-08-31,Jefferson Community Center,22
2018-08-31,Ormsby Community Center,13
2018-08-31,West Penn Community Center,41
2018-08-30,Warrington Community Center,11
2018-08-30,Phillips Community Center,100
2018-08-30,Ammon Community Center,37
2018-08-30,Jefferson Community Center,10
2018-08-30,Brookline Community Center,41
2018-08-30,Ormsby Community Center,12
2018-08-30,West Penn Community Center,41
2018-08-29,Phillips Community Center,182
2018-08-29,Warrington Community Center,11
2018-08-29,Ammon Community Center,17
2018-08-29,Arlington Community Center,3
2018-08-29,Brookline Community Center,39
2018-08-29,Jefferson Community Center,19
2018-08-29,Ormsby Community Center,18
2018-08-29,West Penn Community Center,39
2018-08-28,Warrington Community Center,6
2018-08-28,Phillips Community Center,128
2018-08-28,Arlington Community Center,3
2018-08-28,Ammon Community Center,113
2018-08-28,Jefferson Community Center,6
2018-08-28,Brookline Community Center,51
2018-08-28,Ormsby Community Center,13
2018-08-28,West Penn Community Center,58
2018-08-27,Phillips Community Center,56
2018-08-27,Warrington Community Center,9
2018-08-27,Ammon Community Center,22
2018-08-27,Arlington Community Center,1
2018-08-27,Brookline Community Center,57
2018-08-27,Jefferson Community Center,19
2018-08-27,Ormsby Community Center,25
2018-08-27,West Penn Community Center,58
2018-08-25,Phillips Community Center,49
2018-08-25,Brookline Community Center,19
2018-08-25,West Penn Community Center,19
2018-08-24,Phillips Community Center,48
2018-08-24,Warrington Community Center,8
2018-08-24,Arlington Community Center,1
2018-08-24,Ammon Community Center,65
2018-08-24,Brookline Community Center,33
2018-08-24,Jefferson Community Center,20
2018-08-24,Ormsby Community Center,22
2018-08-24,West Penn Community Center,55
2018-08-23,Warrington Community Center,2
2018-08-23,Phillips Community Center,58
2018-08-23,Ammon Community Center,50
2018-08-23,Jefferson Community Center,7
2018-08-23,Brookline Community Center,37
2018-08-23,Ormsby Community Center,16
2018-08-23,West Penn Community Center,35
2018-08-22,Phillips Community Center,41
2018-08-22,Warrington Community Center,15
2018-08-22,Ammon Community Center,19
2018-08-22,Arlington Community Center,5
2018-08-22,Brookline Community Center,42
2018-08-22,Jefferson Community Center,8
2018-08-22,Ormsby Community Center,24
2018-08-22,West Penn Community Center,65
2018-08-21,Warrington Community Center,15
2018-08-21,Phillips Community Center,43
2018-08-21,Arlington Community Center,6
2018-08-21,Ammon Community Center,57
2018-08-21,Jefferson Community Center,17
2018-08-21,Brookline Community Center,69
2018-08-21,Ormsby Community Center,25
2018-08-21,West Penn Community Center,73
2018-08-20,Phillips Community Center,61
2018-08-20,Warrington Community Center,17
2018-08-20,Ammon Community Center,45
2018-08-20,Brookline Community Center,44
2018-08-20,Ormsby Community Center,29
2018-08-20,West Penn Community Center,60
2018-08-19,Ammon Community Center,1
2018-08-18,Phillips Community Center,14
2018-08-18,Brookline Community Center,5
2018-08-18,West Penn Community Center,18
2018-08-17,Phillips Community Center,33
2018-08-17,Warrington Community Center,2
2018-08-17,Ammon Community Center,67
2018-08-17,Arlington Community Center,6
2018-08-17,Brookline Community Center,24
2018-08-17,Ormsby Community Center,28
2018-08-17,West Penn Community Center,48
2018-08-16,Warrington Community Center,7
2018-08-16,Phillips Community Center,76
2018-08-16,Arlington Community Center,2
2018-08-16,Ammon Community Center,55
2018-08-16,Brookline Community Center,50
2018-08-16,Ormsby Community Center,34
2018-08-16,West Penn Community Center,36
2018-08-15,Phillips Community Center,82
2018-08-15,Warrington Community Center,15
2018-08-15,Ammon Community Center,113
2018-08-15,Arlington Community Center,5
2018-08-15,Brookline Community Center,53
2018-08-15,Ormsby Community Center,25
2018-08-15,West Penn Community Center,47
2018-08-14,Warrington Community Center,13
2018-08-14,Phillips Community Center,114
2018-08-14,Arlington Community Center,6
2018-08-14,Ammon Community Center,88
2018-08-14,Brookline Community Center,40
2018-08-14,Ormsby Community Center,27
2018-08-14,West Penn Community Center,56
2018-08-13,Phillips Community Center,92
2018-08-13,Warrington Community Center,8
2018-08-13,Ammon Community Center,42
2018-08-13,Arlington Community Center,12
2018-08-13,Brookline Community Center,53
2018-08-13,Ormsby Community Center,39
2018-08-13,West Penn Community Center,57
2018-08-11,Phillips Community Center,20
2018-08-11,Brookline Community Center,10
2018-08-10,Phillips Community Center,61
2018-08-10,Warrington Community Center,2
2018-08-10,Arlington Community Center,13
2018-08-10,Ammon Community Center,38
2018-08-10,Brookline Community Center,28
2018-08-10,Jefferson Community Center,16
2018-08-10,Ormsby Community Center,56
2018-08-10,Paulson Community Center,6
2018-08-10,West Penn Community Center,54
2018-08-09,Warrington Community Center,9
2018-08-09,Phillips Community Center,71
2018-08-09,Ammon Community Center,48
2018-08-09,Arlington Community Center,8
2018-08-09,Jefferson Community Center,23
2018-08-09,Brookline Community Center,21
2018-08-09,Paulson Community Center,1
2018-08-09,Ormsby Community Center,53
2018-08-09,West Penn Community Center,37
2018-08-08,Phillips Community Center,70
2018-08-08,Warrington Community Center,11
2018-08-08,Arlington Community Center,16
2018-08-08,Ammon Community Center,80
2018-08-08,Brookline Community Center,31
2018-08-08,Jefferson Community Center,20
2018-08-08,Ormsby Community Center,65
2018-08-08,Paulson Community Center,17
2018-08-08,West Penn Community Center,63
2018-08-07,Warrington Community Center,5
2018-08-07,Phillips Community Center,109
2018-08-07,Ammon Community Center,100
2018-08-07,Arlington Community Center,10
2018-08-07,Jefferson Community Center,17
2018-08-07,Brookline Community Center,47
2018-08-07,Paulson Community Center,11
2018-08-07,Ormsby Community Center,74
2018-08-07,West Penn Community Center,52
2018-08-06,Phillips Community Center,158
2018-08-06,Warrington Community Center,12
2018-08-06,Arlington Community Center,4
2018-08-06,Ammon Community Center,50
2018-08-06,Brookline Community Center,40
2018-08-06,Jefferson Community Center,19
2018-08-06,Ormsby Community Center,71
2018-08-06,Paulson Community Center,7
2018-08-06,West Penn Community Center,53
2018-08-04,Phillips Community Center,10
2018-08-04,Brookline Community Center,15
2018-08-04,West Penn Community Center,25
2018-08-03,Phillips Community Center,65
2018-08-03,Warrington Community Center,1
2018-08-03,Ammon Community Center,61
2018-08-03,Arlington Community Center,20
2018-08-03,Brookline Community Center,28
2018-08-03,Jefferson Community Center,29
2018-08-03,Paulson Community Center,8
2018-08-03,Ormsby Community Center,41
2018-08-03,West Penn Community Center,42
2018-08-02,Warrington Community Center,2
2018-08-02,Phillips Community Center,141
2018-08-02,Arlington Community Center,12
2018-08-02,Ammon Community Center,106
2018-08-02,Jefferson Community Center,18
2018-08-02,Brookline Community Center,45
2018-08-02,Ormsby Community Center,61
2018-08-02,Paulson Community Center,6
2018-08-02,West Penn Community Center,72
2018-08-01,Phillips Community Center,47
2018-08-01,Warrington Community Center,4
2018-08-01,Ammon Community Center,99
2018-08-01,Arlington Community Center,10
2018-08-01,Brookline Community Center,59
2018-08-01,Jefferson Community Center,33
2018-08-01,Paulson Community Center,9
2018-08-01,Ormsby Community Center,79
2018-08-01,West Penn Community Center,100
2018-07-31,Phillips Community Center,85
2018-07-31,Arlington Community Center,5
2018-07-31,Ammon Community Center,71
2018-07-31,Jefferson Community Center,9
2018-07-31,Brookline Community Center,38
2018-07-31,Ormsby Community Center,50
2018-07-31,Paulson Community Center,13
2018-07-31,West Penn Community Center,57
2018-07-30,Phillips Community Center,92
2018-07-30,Warrington Community Center,7
2018-07-30,Ammon Community Center,77
2018-07-30,Arlington Community Center,5
2018-07-30,Brookline Community Center,68
2018-07-30,Magee Community Center,1
2018-07-30,Paulson Community Center,19
2018-07-30,Ormsby Community Center,57
2018-07-30,West Penn Community Center,41
2018-07-28,Phillips Community Center,11
2018-07-28,Brookline Community Center,37
2018-07-28,West Penn Community Center,12
2018-07-27,Phillips Community Center,70
2018-07-27,Warrington Community Center,1
2018-07-27,Arlington Community Center,10
2018-07-27,Ammon Community Center,53
2018-07-27,Brookline Community Center,31
2018-07-27,Jefferson Community Center,14
2018-07-27,Magee Community Center,1
2018-07-27,Ormsby Community Center,47
2018-07-27,Paulson Community Center,10
2018-07-27,West Penn Community Center,65
2018-07-26,Warrington Community Center,8
2018-07-26,Phillips Community Center,68
2018-07-26,Ammon Community Center,156
2018-07-26,Arlington Community Center,7
2018-07-26,Jefferson Community Center,12
2018-07-26,Brookline Community Center,37
2018-07-26,Paulson Community Center,28
2018-07-26,Ormsby Community Center,41
2018-07-26,West Penn Community Center,84
2018-07-25,Phillips Community Center,83
2018-07-25,Warrington Community Center,12
2018-07-25,Arlington Community Center,8
2018-07-25,Ammon Community Center,103
2018-07-25,Brookline Community Center,26
2018-07-25,Jefferson Community Center,26
2018-07-25,Ormsby Community Center,44
2018-07-25,Paulson Community Center,6
2018-07-25,West Penn Community Center,51
2018-07-24,Warrington Community Center,10
2018-07-24,Phillips Community Center,83
2018-07-24,Ammon Community Center,138
2018-07-24,Arlington Community Center,9
2018-07-24,Jefferson Community Center,18
2018-07-24,Brookline Community Center,43
2018-07-24,Paulson Community Center,9
2018-07-24,Ormsby Community Center,55
2018-07-24,West Penn Community Center,49
2018-07-23,Phillips Community Center,82
2018-07-23,Arlington Community Center,17
2018-07-23,Ammon Community Center,110
2018-07-23,Brookline Community Center,34
2018-07-23,Jefferson Community Center,22
2018-07-23,Ormsby Community Center,49
2018-07-23,Paulson Community Center,26
2018-07-23,West Penn Community Center,47
2018-07-21,Phillips Community Center,14
2018-07-21,Brookline Community Center,8
2018-07-21,West Penn Community Center,43
2018-07-20,Phillips Community Center,73
2018-07-20,Warrington Community Center,6
2018-07-20,Ammon Community Center,64
2018-07-20,Arlington Community Center,6
2018-07-20,Brookline Community Center,21
2018-07-20,Jefferson Community Center,12
2018-07-20,Paulson Community Center,30
2018-07-20,Ormsby Community Center,37
2018-07-20,West Penn Community Center,43
2018-07-19,Warrington Community Center,6
2018-07-19,Phillips Community Center,59
2018-07-19,Arlington Community Center,14
2018-07-19,Ammon Community Center,117
2018-07-19,Jefferson Community Center,18
2018-07-19,Brookline Community Center,32
2018-07-19,Magee Community Center,1
2018-07-19,Ormsby Community Center,49
2018-07-19,Paulson Community Center,8
2018-07-19,West Penn Community Center,64
2018-07-18,Phillips Community Center,90
2018-07-18,Warrington Community Center,8
2018-07-18,Ammon Community Center,120
2018-07-18,Arlington Community Center,7
2018-07-18,Brookline Community Center,27
2018-07-18,Jefferson Community Center,26
2018-07-18,Paulson Community Center,7
2018-07-18,Ormsby Community Center,38
2018-07-18,West Penn Community Center,57
2018-07-17,Warrington Community Center,8
2018-07-17,Phillips Community Center,91
2018-07-17,Arlington Community Center,8
2018-07-17,Ammon Community Center,139
2018-07-17,Jefferson Community Center,31
2018-07-17,Brookline Community Center,47
2018-07-17,Magee Community Center,1
2018-07-17,Ormsby Community Center,43
2018-07-17,Paulson Community Center,5
2018-07-17,West Penn Community Center,46
2018-07-16,Phillips Community Center,80
2018-07-16,Warrington Community Center,11
2018-07-16,Ammon Community Center,91
2018-07-16,Brookline Community Center,48
2018-07-16,Jefferson Community Center,45
2018-07-16,Paulson Community Center,11
2018-07-16,Ormsby Community Center,43
2018-07-16,West Penn Community Center,38
2018-07-14,Phillips Community Center,6
2018-07-14,Brookline Community Center,18
2018-07-14,West Penn Community Center,37
2018-07-13,Phillips Community Center,78
2018-07-13,Warrington Community Center,6
2018-07-13,Brookline Community Center,25
2018-07-13,Jefferson Community Center,18
2018-07-13,Ormsby Community Center,47
2018-07-13,Paulson Community Center,26
2018-07-13,West Penn Community Center,43
2018-07-12,Warrington Community Center,9
2018-07-12,Phillips Community Center,73
2018-07-12,Jefferson Community Center,33
2018-07-12,Brookline Community Center,46
2018-07-12,Paulson Community Center,20
2018-07-12,Ormsby Community Center,59
2018-07-12,West Penn Community Center,67
2018-07-11,Phillips Community Center,60
2018-07-11,Warrington Community Center,12
2018-07-11,Brookline Community Center,33
2018-07-11,Jefferson Community Center,28
2018-07-11,Ormsby Community Center,40
2018-07-11,Paulson Community Center,27
2018-07-11,West Penn Community Center,57
2018-07-10,Warrington Community Center,8
2018-07-10,Phillips Community Center,66
2018-07-10,Jefferson Community Center,63
2018-07-10,Brookline Community Center,43
2018-07-10,Paulson Community Center,16
2018-07-10,Ormsby Community Center,58
2018-07-10,West Penn Community Center,53
2018-07-09,Phillips Community Center,86
2018-07-09,Warrington Community Center,11
2018-07-09,Brookline Community Center,54
2018-07-09,Jefferson Community Center,21
2018-07-09,Ormsby Community Center,45
2018-07-09,Paulson Community Center,15
2018-07-09,West Penn Community Center,36
2018-07-07,Phillips Community Center,18
2018-07-07,Brookline Community Center,22
2018-07-07,West Penn Community Center,60
2018-07-06,Phillips Community Center,40
2018-07-06,Warrington Community Center,5
2018-07-06,Ammon Community Center,106
2018-07-06,Brookline Community Center,23
2018-07-06,Jefferson Community Center,41
2018-07-06,Paulson Community Center,16
2018-07-06,Ormsby Community Center,32
2018-07-06,West Penn Community Center,42
2018-07-05,Warrington Community Center,1
2018-07-05,Phillips Community Center,88
2018-07-05,Ammon Community Center,83
2018-07-05,Jefferson Community Center,19
2018-07-05,Brookline Community Center,38
2018-07-05,Ormsby Community Center,39
2018-07-05,Paulson Community Center,47
2018-07-05,West Penn Community Center,30
2018-07-03,Phillips Community Center,89
2018-07-03,Ammon Community Center,127
2018-07-03,Brookline Community Center,44
2018-07-03,Jefferson Community Center,23
2018-07-03,Paulson Community Center,30
2018-07-03,Ormsby Community Center,61
2018-07-03,West Penn Community Center,65
2018-07-02,Phillips Community Center,91
2018-07-02,Warrington Community Center,8
2018-07-02,Ammon Community Center,232
2018-07-02,Jefferson Community Center,24
2018-07-02,Brookline Community Center,34
2018-07-02,Ormsby Community Center,38
2018-07-02,Paulson Community Center,33
2018-07-02,West Penn Community Center,51
2018-06-30,Phillips Community Center,14
2018-06-30,Ammon Community Center,18
2018-06-30,Brookline Community Center,14
2018-06-30,West Penn Community Center,37
2018-06-29,Phillips Community Center,69
2018-06-29,Warrington Community Center,12
2018-06-29,Ammon Community Center,169
2018-06-29,Brookline Community Center,28
2018-06-29,Jefferson Community Center,63
2018-06-29,Paulson Community Center,17
2018-06-29,Ormsby Community Center,41
2018-06-29,West Penn Community Center,63
2018-06-28,Warrington Community Center,5
2018-06-28,Phillips Community Center,74
2018-06-28,Ammon Community Center,137
2018-06-28,Jefferson Community Center,29
2018-06-28,Brookline Community Center,34
2018-06-28,Ormsby Community Center,50
2018-06-28,Paulson Community Center,21
2018-06-28,West Penn Community Center,90
2018-06-27,Phillips Community Center,96
2018-06-27,Warrington Community Center,10
2018-06-27,Ammon Community Center,153
2018-06-27,Brookline Community Center,30
2018-06-27,Burgwin Field,2
2018-06-27,Jefferson Community Center,65
2018-06-27,Paulson Community Center,23
2018-06-27,Ormsby Community Center,38
2018-06-27,West Penn Community Center,50
2018-06-26,Warrington Community Center,9
2018-06-26,Phillips Community Center,110
2018-06-26,Ammon Community Center,134
2018-06-26,Jefferson Community Center,38
2018-06-26,Burgwin Field,1
2018-06-26,Brookline Community Center,47
2018-06-26,Ormsby Community Center,48
2018-06-26,Paulson Community Center,42
2018-06-26,West Penn Community Center,72
2018-06-25,Phillips Community Center,138
2018-06-25,Warrington Community Center,13
2018-06-25,Ammon Community Center,264
2018-06-25,Brookline Community Center,39
2018-06-25,Burgwin Field,1
2018-06-25,Jefferson Community Center,78
2018-06-25,Paulson Community Center,45
2018-06-25,Ormsby Community Center,48
2018-06-25,West Penn Community Center,56
2018-06-23,Phillips Community Center,12
2018-06-23,Ammon Community Center,19
2018-06-23,Brookline Community Center,21
2018-06-23,West Penn Community Center,44
2018-06-22,Phillips Community Center,57
2018-06-22,Warrington Community Center,14
2018-06-22,Ammon Community Center,105
2018-06-22,Brookline Community Center,35
2018-06-22,Jefferson Community Center,114
2018-06-22,Ormsby Community Center,28
2018-06-22,Paulson Community Center,15
2018-06-22,West Penn Community Center,47
2018-06-21,Warrington Community Center,19
2018-06-21,Phillips Community Center,92
2018-06-21,Ammon Community Center,157
2018-06-21,Jefferson Community Center,32
2018-06-21,Brookline Community Center,43
2018-06-21,Paulson Community Center,40
2018-06-21,Ormsby Community Center,34
2018-06-21,West Penn Community Center,75
2018-06-20,Phillips Community Center,84
2018-06-20,Warrington Community Center,25
2018-06-20,Ammon Community Center,160
2018-06-20,Brookline Community Center,68
2018-06-20,Jefferson Community Center,20
2018-06-20,Magee Community Center,1
2018-06-20,Ormsby Community Center,42
2018-06-20,Paulson Community Center,27
2018-06-20,West Penn Community Center,64
2018-06-19,Warrington Community Center,3
2018-06-19,Phillips Community Center,103
2018-06-19,Ammon Community Center,228
2018-06-19,Jefferson Community Center,27
2018-06-19,Brookline Community Center,51
2018-06-19,Paulson Community Center,16
2018-06-19,Ormsby Community Center,39
2018-06-19,West Penn Community Center,114
2018-06-18,Phillips Community Center,134
2018-06-18,Ammon Community Center,232
2018-06-18,Brookline Community Center,57
2018-06-18,Burgwin Field,1
2018-06-18,Jefferson Community Center,242
2018-06-18,Ormsby Community Center,58
2018-06-18,Paulson Community Center,12
2018-06-18,West Penn Community Center,73
2018-06-17,Ammon Community Center,2
2018-06-16,Phillips Community Center,56
2018-06-16,Brookline Community Center,16
2018-06-16,West Penn Community Center,46
2018-06-15,Phillips Community Center,125
2018-06-15,Warrington Community Center,18
2018-06-15,Ammon Community Center,72
2018-06-15,Brookline Community Center,49
2018-06-15,Jefferson Community Center,71
2018-06-15,Paulson Community Center,47
2018-06-15,Ormsby Community Center,53
2018-06-15,West Penn Community Center,102
2018-06-14,Warrington Community Center,18
2018-06-14,Phillips Community Center,99
2018-06-14,Ammon Community Center,152
2018-06-14,Jefferson Community Center,49
2018-06-14,Brookline Community Center,57
2018-06-14,Burgwin Field,1
2018-06-14,Ormsby Community Center,43
2018-06-14,Paulson Community Center,38
2018-06-14,West Penn Community Center,119
2018-06-13,Phillips Community Center,159
2018-06-13,Warrington Community Center,11
2018-06-13,Ammon Community Center,149
2018-06-13,Brookline Community Center,58
2018-06-13,Jefferson Community Center,18
2018-06-13,Paulson Community Center,23
2018-06-13,Ormsby Community Center,52
2018-06-13,West Penn Community Center,79
2018-06-12,Warrington Community Center,18
2018-06-12,Phillips Community Center,152
2018-06-12,Ammon Community Center,157
2018-06-12,Jefferson Community Center,94
2018-06-12,Brookline Community Center,77
2018-06-12,Ormsby Community Center,55
2018-06-12,Paulson Community Center,25
2018-06-12,West Penn Community Center,93
2018-06-11,Phillips Community Center,167
2018-06-11,Warrington Community Center,25
2018-06-11,Ammon Community Center,189
2018-06-11,Brookline Community Center,85
2018-06-11,Jefferson Community Center,47
2018-06-11,Paulson Community Center,37
2018-06-11,Ormsby Community Center,46
2018-06-11,West Penn Community Center,72
2018-06-09,Phillips Community Center,8
2018-06-09,Brookline Community Center,70
2018-06-09,West Penn Community Center,24
2018-06-08,Phillips Community Center,107
2018-06-08,Warrington Community Center,15
2018-06-08,Ammon Community Center,81
2018-06-08,Brookline Community Center,33
2018-06-08,Jefferson Community Center,29
2018-06-08,Ormsby Community Center,10
2018-06-08,Paulson Community Center,19
2018-06-08,West Penn Community Center,54
2018-06-07,Warrington Community Center,26
2018-06-07,Phillips Community Center,77
2018-06-07,Ammon Community Center,133
2018-06-07,Jefferson Community Center,65
2018-06-07,Brookline Community Center,54
2018-06-07,Paulson Community Center,25
2018-06-07,Ormsby Community Center,17
2018-06-07,West Penn Community Center,30
2018-06-06,Phillips Community Center,122
2018-06-06,Warrington Community Center,20
2018-06-06,Ammon Community Center,125
2018-06-06,Brookline Community Center,49
2018-06-06,Jefferson Community Center,4
2018-06-06,Ormsby Community Center,18
2018-06-06,Paulson Community Center,14
2018-06-06,West Penn Community Center,47
2018-06-05,Warrington Community Center,14
2018-06-05,Phillips Community Center,136
2018-06-05,Ammon Community Center,122
2018-06-05,Jefferson Community Center,9
2018-06-05,Brookline Community Center,48
2018-06-05,Paulson Community Center,19
2018-06-05,Ormsby Community Center,25
2018-06-05,West Penn Community Center,68
2018-06-04,Phillips Community Center,112
2018-06-04,Warrington Community Center,19
2018-06-04,Ammon Community Center,62
2018-06-04,Brookline Community Center,43
2018-06-04,Jefferson Community Center,25
2018-06-04,Ormsby Community Center,21
2018-06-04,Paulson Community Center,34
2018-06-04,West Penn Community Center,33
2018-06-02,Phillips Community Center,19
2018-06-02,Brookline Community Center,20
2018-06-02,West Penn Community Center,41
2018-06-01,Phillips Community Center,88
2018-06-01,Warrington Community Center,8
2018-06-01,Ammon Community Center,30
2018-06-01,Brookline Community Center,37
2018-06-01,Jefferson Community Center,18
2018-06-01,Paulson Community Center,19
2018-06-01,Ormsby Community Center,15
2018-06-01,West Penn Community Center,41
2018-05-31,Warrington Community Center,31
2018-05-31,Phillips Community Center,87
2018-05-31,Ammon Community Center,96
2018-05-31,Jefferson Community Center,44
2018-05-31,Brookline Community Center,37
2018-05-31,Ormsby Community Center,22
2018-05-31,Paulson Community Center,21
2018-05-31,West Penn Community Center,49
2018-05-30,Phillips Community Center,316
2018-05-30,Warrington Community Center,15
2018-05-30,Ammon Community Center,46
2018-05-30,Brookline Community Center,46
2018-05-30,Jefferson Community Center,58
2018-05-30,Paulson Community Center,20
2018-05-30,Ormsby Community Center,14
2018-05-30,West Penn Community Center,63
2018-05-29,Warrington Community Center,17
2018-05-29,Phillips Community Center,87
2018-05-29,Ammon Community Center,87
2018-05-29,Jefferson Community Center,111
2018-05-29,Brookline Community Center,55
2018-05-29,Ormsby Community Center,28
2018-05-29,Paulson Community Center,53
